coefficient,min_v1,max_v2,mod_type,mod_name,scenario,test_ratio,test_name,pred_method,lb,ub,f1,precision,recall,accuracy,mcc,prediction_time,training_time
theilsu,0.15,1,"distilbert","distilbert-base-uncased","defsep",0.2,"0-final",0,0,inf,0.0,0.0,0.0,0.46875,0.0,6.16069883108139e-07,2323.287708759308
theilsu,0.15,1,"distilbert","distilbert-base-uncased","defsep",0.2,"Typesobject-object",0,-1,-1,0.0,0.0,0.0,0.5318471337579618,0.0,5.93009268402294e-07,2323.287708759308
theilsu,0.15,1,"distilbert","distilbert-base-uncased","defsep",0.2,"Typesobject-float64",0,-1,-1,0.0,0.0,0.0,0.0,0.0,6.121558112067145e-07,2323.287708759308
theilsu,0.15,1,"distilbert","distilbert-base-uncased","defsep",0.2,"Typesobject-int64",0,-1,-1,0.0,0.0,0.0,0.48333333333333334,0.0,6.477038065592448e-07,2323.287708759308
theilsu,0.15,1,"distilbert","distilbert-base-uncased","defsep",0.2,"Typesfloat64-object",0,-1,-1,0.0,0.0,0.0,0.4074074074074074,0.0,6.887647840711805e-07,2323.287708759308
theilsu,0.15,1,"distilbert","distilbert-base-uncased","defsep",0.2,"Typesfloat64-int64",0,-1,-1,0.0,0.0,0.0,0.5,0.0,1.152356465657552e-06,2323.287708759308
theilsu,0.15,1,"distilbert","distilbert-base-uncased","defsep",0.2,"Typesint64-object",0,-1,-1,0.0,0.0,0.0,0.48148148148148145,0.0,6.44613195348669e-07,2323.287708759308
theilsu,0.15,1,"distilbert","distilbert-base-uncased","defsep",0.2,"Typesint64-float64",0,-1,-1,0.0,0.0,0.0,0.0,0.0,1.3113021850585938e-06,2323.287708759308
theilsu,0.15,1,"distilbert","distilbert-base-uncased","defsep",0.2,"Typesint64-int64",0,-1,-1,0.0,0.0,0.0,0.4,0.0,9.775161743164062e-07,2323.287708759308
theilsu,0.15,1,"distilbert","distilbert-base-uncased","defsep",0.2,"L0-0-0.25",0,25.0,41.0,0.0,0.0,0.0,0.46099290780141844,0.0,6.324010537871232e-07,2323.287708759308
theilsu,0.15,1,"distilbert","distilbert-base-uncased","defsep",0.2,"N0-0-0.25",0,2.0,2.0,0.0,0.0,0.0,0.46875,0.0,5.885958671569824e-07,2323.287708759308
theilsu,0.15,1,"distilbert","distilbert-base-uncased","defsep",0.2,"L0-0.25-0.5",0,41.0,47.0,0.0,0.0,0.0,0.5067567567567568,0.0,6.427636017670503e-07,2323.287708759308
theilsu,0.15,1,"distilbert","distilbert-base-uncased","defsep",0.2,"N0-0.25-0.5",0,2.0,2.0,0.0,0.0,0.0,0.46875,0.0,5.85801899433136e-07,2323.287708759308
theilsu,0.15,1,"distilbert","distilbert-base-uncased","defsep",0.2,"L0-0.5-1",0,47.0,74.0,0.0,0.0,0.0,0.46153846153846156,0.0,6.052163931039663e-07,2323.287708759308
theilsu,0.15,1,"distilbert","distilbert-base-uncased","defsep",0.2,"N0-0.5-1",0,2.0,2.0,0.0,0.0,0.0,0.46875,0.0,5.918554961681366e-07,2323.287708759308
theilsu,0.15,1,"distilbert","distilbert-base-uncased","defsep",0.2,"1-final",1,0,inf,0.9262759924385633,0.953307392996109,0.9007352941176471,0.923828125,0.8490785539005162,0.0877847638912499,2323.287708759308
